event_id,team,module,priority,build_time_min,deploy_time_min,commit_size_loc,num_bugs,test_coverage_pct,ticket_resolution_h,deploy_status
72,Alpha,ui,critica,4.13,5.27,90,0,70.3,8.89,success
73,Beta,db,baja,4.29,0.3,70,0,72.8,8.44,success
74,Alpha,db,media,15.84,13.48,317,0,73.1,5.37,success
75,Gamma,ui,baja,3.53,1.97,10,0,75.6,6.38,success
76,Beta,ui,critica,1.99,4.69,94,0,62.3,10.8,success
77,Beta,ui,critica,1.74,3.28,35,0,92.3,3.01,success
78,Alpha,infra,baja,0.5,0.3,8,0,82.3,7.54,success
79,Gamma,auth,baja,0.5,3.31,48,0,68.9,9.57,success
80,Gamma,infra,media,8.46,6.02,352,1,68.5,13.53,success
81,Delta,auth,baja,3.49,2.45,37,1,63.8,14.31,success
82,Beta,db,alta,9.9,6.38,136,0,58.3,5.93,success
83,Alpha,auth,baja,10.48,9.76,196,0,95.5,7.85,success
84,Delta,auth,alta,0.5,0.3,66,0,81.6,5.12,success
85,Gamma,auth,media,1.4,5.12,74,1,44.6,8.39,failed
86,Gamma,api,media,0.5,0.3,14,0,72.7,8.98,success
87,Alpha,api,baja,0.5,2.54,35,0,61.0,6.62,success
88,Beta,auth,critica,6.03,7.05,151,0,91.3,2.36,success
89,Delta,api,media,6.64,7.35,70,0,83.2,4.52,success
90,Delta,api,media,3.99,4.35,93,0,58.3,7.21,success
91,Beta,db,media,0.5,1.28,75,0,90.2,8.77,success
92,Delta,infra,critica,13.73,8.36,480,0,86.2,5.3,success
93,Delta,ui,alta,2.31,0.3,45,0,91.3,5.35,success
94,Beta,auth,alta,12.8,7.47,283,0,64.8,5.57,success
95,Delta,api,media,3.67,1.3,75,0,70.5,4.86,success
96,Beta,infra,alta,13.08,6.53,306,0,84.7,9.14,success
97,Alpha,auth,baja,2.45,7.48,22,0,74.6,5.75,success
98,Gamma,api,alta,5.21,0.33,79,0,81.3,6.7,success
99,Gamma,infra,media,0.5,4.61,47,0,60.5,9.71,success
100,Alpha,infra,media,2.49,0.3,76,0,83.2,7.32,success
101,Delta,api,critica,4.03,1.36,200,0,80.1,6.67,success
102,Alpha,ui,critica,6.39,2.74,94,0,67.6,3.21,success
103,Delta,api,media,7.08,2.97,200,0,81.6,7.49,success
104,Alpha,db,media,0.5,4.11,36,0,54.0,9.44,success
105,Delta,auth,alta,4.48,5.66,32,0,68.5,8.11,success
106,Delta,auth,critica,7.12,5.19,68,0,75.1,7.69,success
107,Delta,ui,alta,1.36,9.08,64,0,91.9,4.97,success
108,Gamma,auth,baja,5.38,4.69,56,0,84.2,11.5,success
109,Beta,ui,baja,2.21,2.98,28,0,66.5,8.17,success
110,Gamma,api,alta,0.5,0.3,196,0,56.6,4.85,success
111,Beta,infra,alta,9.3,5.07,48,0,71.7,11.81,success
112,Delta,db,alta,8.59,5.32,241,0,67.5,2.67,success
113,Gamma,api,media,4.72,6.46,67,0,67.0,6.75,success
114,Beta,db,media,3.73,5.17,120,0,59.5,5.11,success
115,Gamma,api,media,4.26,7.28,110,0,,8.99,success
116,Gamma,api,alta,3.53,1.83,32,1,88.1,6.87,success
117,Alpha,auth,baja,2.07,4.22,93,1,93.7,10.66,success
118,Alpha,infra,media,17.76,12.92,378,0,21.3,5.61,success
119,Alpha,db,alta,6.71,6.61,84,0,78.0,4.93,success
120,Alpha,infra,alta,7.85,4.05,150,0,80.0,4.39,success
121,Beta,infra,baja,5.29,2.08,124,0,76.5,5.38,success
122,Gamma,infra,alta,1.95,4.02,88,0,85.0,5.33,success
123,Gamma,auth,baja,8.01,8.49,79,0,40.5,4.89,success
124,Beta,infra,baja,7.1,4.21,109,0,89.5,7.42,success
125,Delta,ui,media,4.73,5.86,133,0,58.6,6.33,success
126,Gamma,api,baja,0.5,4.8,20,0,86.1,13.25,success
127,Alpha,ui,critica,0.5,0.9,83,0,77.3,5.39,rolled_back
128,Delta,api,critica,3.8,0.3,57,0,79.1,1.93,success
129,Gamma,api,baja,2.53,0.3,47,0,,9.18,success
130,Gamma,auth,alta,12.6,7.37,214,0,66.1,12.1,success
131,Gamma,auth,media,6.52,4.3,34,0,72.0,4.99,success
132,Gamma,api,alta,2.71,3.04,19,0,68.4,5.44,success
133,Alpha,infra,alta,5.87,4.98,136,0,71.2,4.96,success
134,Gamma,ui,media,0.5,1.12,19,0,58.3,6.48,success
135,Delta,ui,baja,5.71,6.62,12,0,49.6,7.59,success
136,Beta,api,baja,6.36,3.41,151,0,79.3,7.49,success
137,Gamma,api,media,6.45,8.53,77,0,83.5,,success
138,Alpha,auth,critica,8.13,8.73,102,0,73.3,4.23,success
139,Beta,db,media,1.65,4.66,45,0,50.0,6.76,success
140,Beta,auth,media,0.5,0.3,19,0,78.4,7.05,success
141,Delta,db,baja,10.49,7.5,23,0,42.4,8.74,success
142,Alpha,db,critica,5.11,6.37,52,0,93.1,9.1,success
143,Beta,ui,baja,1.79,2.07,21,0,67.0,9.65,success
144,Beta,infra,alta,8.36,4.77,88,0,63.3,6.16,success
145,Delta,api,media,2.35,1.06,44,0,31.0,5.79,success
146,Delta,infra,baja,5.4,3.01,79,0,48.8,17.11,success
147,Alpha,db,baja,2.83,0.3,77,0,87.2,4.9,success
148,Alpha,db,media,4.78,11.54,94,0,52.1,7.5,success
149,Delta,ui,baja,4.28,0.3,105,0,58.4,10.35,success
150,Alpha,db,alta,1.51,0.3,49,0,93.6,5.88,success
151,Delta,infra,alta,5.14,6.07,79,0,76.2,4.16,success
152,Beta,api,baja,2.54,1.32,82,0,78.2,9.14,success
153,Delta,db,media,4.03,3.04,7,0,42.9,4.51,success
154,Beta,db,baja,4.66,5.28,119,0,74.3,10.38,success
155,Beta,api,baja,0.5,4.38,76,0,60.9,5.58,success
156,Gamma,infra,alta,7.52,5.33,111,0,47.5,10.55,success
157,Alpha,api,alta,4.29,6.38,21,0,87.8,7.05,success
158,Gamma,ui,alta,11.45,4.13,50,0,49.1,6.01,success
159,Gamma,auth,baja,2.81,1.67,25,0,50.3,7.36,success
160,Delta,auth,media,6.48,6.63,130,0,30.6,6.43,success
161,Delta,db,media,4.08,8.88,19,0,82.0,4.66,success
162,Gamma,api,critica,6.47,2.97,29,0,82.5,4.92,success
163,Beta,api,media,8.11,3.51,108,0,79.6,5.61,success
164,Beta,auth,critica,4.1,4.81,38,0,94.1,3.63,success
165,Beta,api,baja,2.77,3.29,29,0,92.6,16.58,success
166,Delta,db,media,9.19,5.22,151,0,90.6,5.65,success
167,Beta,infra,alta,6.46,2.33,156,0,82.4,5.05,success
168,Alpha,auth,media,2.48,1.7,128,0,75.1,10.05,success
169,Beta,ui,media,1.79,3.88,143,0,55.1,4.65,success
170,Alpha,api,media,2.85,2.38,54,0,97.2,11.3,success
171,Alpha,ui,critica,3.96,6.8,55,0,76.3,4.07,success
172,Alpha,api,baja,9.56,6.9,37,0,85.3,6.08,success
173,Delta,api,critica,3.96,5.38,78,0,73.5,1.88,success
174,Gamma,api,media,3.39,4.23,41,0,78.1,10.63,success
175,Gamma,ui,media,1.92,1.64,45,0,79.2,5.31,success
176,Beta,ui,media,7.28,7.95,114,0,94.8,5.81,success
177,Gamma,api,baja,8.81,3.74,194,0,76.7,7.05,success
178,Alpha,db,critica,3.18,2.02,95,0,69.5,3.51,success
179,Delta,db,critica,8.86,5.78,335,1,60.0,7.72,success
180,Gamma,api,critica,1.63,3.43,35,0,68.8,7.67,success
181,Delta,db,critica,0.5,3.38,13,0,81.5,14.05,success
182,Alpha,infra,media,5.21,2.59,127,0,72.2,,success
183,Beta,auth,media,3.41,1.16,33,0,66.3,6.85,success
184,Gamma,ui,alta,1.79,2.77,52,0,87.1,8.32,success
185,Beta,api,baja,6.78,1.72,14,0,63.5,14.61,success
186,Beta,db,alta,6.38,7.85,30,0,86.3,8.97,success
187,Alpha,auth,media,1.91,2.09,17,0,26.2,7.01,success
188,Beta,ui,media,0.5,0.3,45,0,52.8,7.98,success
189,Alpha,api,media,3.33,0.52,47,0,87.6,11.37,success
190,Beta,ui,media,3.76,4.54,72,0,62.2,3.5,success
191,Gamma,infra,baja,7.9,6.96,204,0,69.6,7.34,success
192,Gamma,api,media,4.29,2.15,123,0,53.9,3.36,success
193,Gamma,infra,media,0.5,1.52,15,0,81.2,4.31,success
194,Beta,infra,baja,5.55,2.01,115,0,,4.41,success
195,Delta,infra,baja,3.11,2.72,74,0,68.0,7.14,success
196,Alpha,auth,media,3.15,7.08,61,0,94.8,12.81,success
197,Beta,db,baja,4.23,9.36,65,0,49.1,11.91,success
198,Alpha,auth,alta,4.22,3.5,80,0,94.1,3.98,success
199,Beta,api,baja,3.3,4.56,36,0,94.9,9.15,success
200,Delta,infra,media,2.46,3.96,57,0,86.1,4.57,success
201,Beta,ui,baja,8.9,2.54,194,0,70.2,8.06,success
202,Delta,ui,media,0.78,0.3,35,0,74.4,12.01,success
203,Beta,api,media,0.5,0.3,26,0,87.6,4.16,success
204,Gamma,db,media,0.75,3.07,63,0,70.9,7.44,success
205,Beta,db,media,0.69,6.78,24,0,73.4,9.08,success
206,Beta,api,media,0.5,4.46,14,0,56.2,5.22,success
207,Delta,infra,baja,0.5,1.91,49,0,60.6,8.61,success
208,Delta,auth,media,10.97,7.84,246,0,67.6,4.82,success
209,Beta,auth,media,7.74,5.26,64,0,77.3,7.02,success
210,Delta,ui,media,6.1,7.81,78,0,80.8,7.02,success
211,Beta,infra,media,0.85,2.55,10,0,57.1,3.99,success
212,Gamma,auth,alta,0.5,1.96,99,0,43.7,2.91,success
213,Delta,auth,media,4.8,1.62,73,0,57.9,3.68,success
214,Beta,auth,baja,0.5,3.3,37,0,93.9,9.38,success
215,Gamma,infra,baja,4.03,3.54,78,0,92.4,8.78,success
216,Beta,auth,baja,1.94,3.66,78,0,60.1,7.93,success
217,Alpha,ui,media,0.5,4.3,26,0,77.9,6.01,success
218,Alpha,infra,alta,8.56,2.55,90,0,76.9,8.52,success
219,Beta,auth,alta,4.11,3.23,196,0,48.3,4.83,success
220,Delta,ui,media,2.5,1.9,54,0,61.0,4.97,success
221,Alpha,ui,baja,2.59,1.73,31,0,67.5,5.48,success
222,Beta,db,alta,2.3,0.3,57,0,81.4,5.65,success
223,Gamma,api,baja,7.96,4.46,144,0,68.0,8.36,success
224,Alpha,api,media,0.73,0.3,22,0,93.3,6.41,success
225,Gamma,auth,alta,6.71,7.59,112,0,67.5,7.95,success
226,Beta,db,media,4.04,4.87,36,0,52.5,5.81,success
227,Delta,db,baja,0.5,2.57,83,0,47.6,19.11,success
228,Gamma,auth,baja,4.03,0.3,40,0,84.2,7.76,success
229,Gamma,api,media,0.5,6.67,40,0,76.6,5.42,success
230,Alpha,infra,baja,6.85,4.59,263,0,46.9,6.8,success
231,Beta,auth,media,3.44,7.93,19,0,82.8,7.65,success
232,Delta,api,media,3.8,5.65,103,0,75.0,15.73,failed
233,Alpha,ui,baja,12.48,8.41,317,0,77.8,6.2,success
234,Delta,api,baja,6.93,10.77,124,0,95.7,9.68,success
235,Beta,api,alta,0.5,3.22,20,1,91.3,9.34,success
236,Gamma,api,media,5.24,4.07,21,0,65.0,12.19,success
237,Gamma,auth,alta,4.03,2.94,34,0,81.9,4.01,success
238,Beta,ui,media,2.55,5.61,77,0,95.1,7.98,success
239,Beta,db,baja,4.05,2.59,82,0,82.4,11.21,success
240,Gamma,ui,media,5.34,3.76,21,0,87.3,8.41,success
241,Alpha,auth,media,2.07,1.25,30,0,91.9,9.49,success
242,Gamma,db,media,10.43,5.87,32,0,34.6,5.71,success
243,Alpha,auth,alta,7.6,4.32,57,0,89.3,6.34,success
244,Gamma,db,critica,14.35,14.54,398,0,73.2,9.21,success
245,Gamma,api,alta,2.07,5.26,29,0,81.4,2.94,success
246,Alpha,db,media,2.36,3.5,28,0,76.8,5.75,success
247,Delta,auth,media,0.82,0.62,24,0,74.1,4.79,success
248,Beta,auth,media,5.92,3.67,118,0,76.0,4.72,success
249,Delta,api,baja,6.09,4.24,64,0,87.9,8.72,success
250,Alpha,auth,alta,0.5,6.27,30,0,34.3,6.56,success
251,Alpha,auth,alta,5.12,5.3,48,0,41.4,4.95,success
252,Beta,db,baja,5.79,6.84,33,0,68.8,,success
253,Alpha,db,critica,6.1,5.66,87,0,60.9,4.6,success
254,Beta,auth,alta,24.02,13.7,747,0,74.0,2.8,success
255,Gamma,infra,media,7.14,6.04,109,0,79.3,4.26,success
256,Alpha,db,critica,7.22,3.14,61,0,86.7,6.69,success
257,Gamma,infra,baja,2.9,6.23,37,0,92.4,5.73,success
258,Alpha,ui,baja,2.66,1.22,20,0,77.0,7.01,success
259,Alpha,ui,baja,11.43,6.93,129,0,82.8,8.98,success
260,Gamma,ui,media,6.77,7.59,123,0,79.7,7.42,success
261,Delta,ui,media,0.5,0.3,44,0,64.6,5.1,success
262,Alpha,infra,critica,10.25,7.1,199,0,,4.78,success
263,Beta,auth,baja,5.25,0.3,68,0,84.2,6.93,success
264,Delta,api,baja,3.95,3.06,134,0,86.0,7.44,success
265,Delta,auth,media,1.12,3.66,87,0,65.0,11.98,success
266,Gamma,infra,baja,4.55,2.66,57,0,70.4,9.16,success
267,Beta,api,alta,2.66,4.49,28,0,86.1,5.34,success
268,Beta,ui,media,0.5,1.76,58,0,68.0,6.65,success
269,Gamma,db,critica,5.95,7.79,142,0,60.8,1.55,success
270,Gamma,infra,media,2.73,1.3,42,0,88.5,20.02,success
271,Beta,auth,baja,4.78,3.76,99,0,78.4,12.14,success
272,Alpha,db,baja,4.03,0.3,25,0,78.2,6.79,success
273,Alpha,infra,baja,1.45,2.14,135,0,95.8,4.87,success
274,Delta,auth,critica,1.13,1.12,88,0,86.1,3.89,success
275,Beta,db,media,1.23,4.64,23,0,67.2,10.06,success
276,Beta,api,media,7.63,4.52,55,0,52.2,9.51,success
277,Beta,ui,baja,13.72,8.67,154,0,85.3,7.74,failed
278,Delta,ui,alta,2.65,1.4,21,0,42.5,13.24,success
279,Alpha,api,baja,2.87,3.29,25,0,92.3,7.25,success
280,Alpha,auth,alta,0.5,6.77,63,0,75.4,4.92,success
281,Beta,auth,alta,18.36,3.77,455,0,90.6,6.86,success
282,Beta,auth,baja,4.43,4.04,36,0,,6.13,success
283,Gamma,ui,media,6.12,8.11,104,0,58.4,5.34,success
284,Beta,api,baja,0.78,0.68,84,0,46.1,9.76,success
285,Beta,auth,media,9.11,8.28,39,0,72.3,4.76,success
286,Delta,ui,critica,9.11,9.91,77,0,69.1,5.96,success
287,Alpha,ui,media,4.12,3.28,45,0,76.0,9.72,success
288,Gamma,ui,alta,6.94,4.03,48,0,84.3,4.71,success
289,Gamma,infra,media,2.63,5.42,15,0,54.2,6.0,success
290,Beta,api,baja,6.41,6.58,65,0,78.5,8.06,success
291,Delta,db,alta,2.37,2.77,150,0,64.2,3.86,success
292,Beta,auth,media,0.5,3.33,70,0,67.6,5.53,success
293,Delta,db,baja,3.33,5.9,178,0,76.8,5.13,success
294,Beta,infra,media,2.94,3.13,112,0,60.3,4.46,success
295,Gamma,db,media,1.62,3.24,63,0,58.7,6.31,success
296,Gamma,ui,alta,4.72,5.64,38,0,61.0,6.63,success
297,Delta,ui,baja,2.48,1.83,43,0,46.8,8.75,success
298,Beta,api,alta,2.45,5.94,18,0,52.0,4.21,success
299,Beta,ui,media,0.5,0.3,52,0,72.1,5.14,success
300,Alpha,db,baja,0.96,1.75,76,0,76.2,6.57,success
301,Beta,infra,baja,11.48,10.31,312,0,83.4,7.73,success
302,Delta,api,alta,3.5,0.96,107,0,83.5,3.55,success
303,Alpha,auth,media,2.94,5.44,31,0,,3.79,success
304,Delta,ui,media,4.26,4.53,18,0,59.0,6.95,success
305,Gamma,auth,baja,9.44,10.48,55,0,89.2,,success
306,Alpha,auth,media,6.09,6.69,138,0,97.5,7.57,success
307,Beta,api,alta,9.09,6.55,55,0,56.7,13.59,success
308,Gamma,db,baja,6.7,6.1,109,0,64.7,6.47,success
309,Beta,auth,critica,5.78,5.64,57,0,64.6,6.03,success
310,Alpha,auth,baja,8.56,11.69,127,0,68.3,4.67,success
311,Gamma,auth,baja,5.02,4.72,16,0,91.8,6.82,failed
312,Gamma,infra,media,7.66,5.75,283,0,81.6,6.78,success
313,Alpha,ui,alta,5.58,4.36,25,0,80.7,2.48,success
314,Beta,auth,baja,4.96,4.95,136,0,55.3,12.55,success
315,Alpha,auth,media,4.35,1.27,52,0,94.0,4.81,success
316,Gamma,ui,baja,4.27,3.11,60,0,69.7,10.29,success
317,Gamma,api,media,7.66,3.57,54,0,70.4,8.11,success
318,Gamma,ui,media,5.91,2.84,84,0,80.6,12.62,success
319,Delta,api,critica,0.65,3.9,101,0,97.4,1.68,success
320,Delta,infra,media,13.8,9.85,173,0,29.0,7.22,success
321,Beta,api,media,11.61,6.61,237,0,56.5,6.22,success
322,Alpha,ui,media,3.26,3.08,90,0,89.4,3.34,success
323,Gamma,auth,baja,7.35,5.29,312,0,76.1,7.22,success
324,Delta,infra,baja,7.19,5.95,73,0,64.0,6.96,success
325,Delta,infra,critica,4.06,0.3,176,0,87.8,2.35,success
326,Alpha,db,baja,7.03,2.99,98,0,77.7,7.07,success
327,Alpha,api,alta,6.02,1.51,41,0,66.7,4.76,success
328,Alpha,auth,baja,2.67,0.85,79,0,97.0,6.49,rolled_back
329,Alpha,db,alta,3.22,1.63,105,0,71.5,6.42,success
330,Gamma,db,baja,2.29,0.3,65,0,84.1,9.87,success
331,Gamma,auth,critica,1.42,4.26,97,0,38.5,3.03,success
332,Beta,api,media,7.04,10.32,145,0,59.5,6.1,success
333,Beta,api,baja,5.07,6.61,65,0,69.8,13.66,success
334,Delta,db,media,4.45,2.76,5,0,89.0,6.08,success
335,Beta,ui,media,8.56,7.16,302,0,95.2,4.78,success
336,Delta,ui,baja,6.18,5.04,51,0,75.9,5.52,success
337,Delta,ui,baja,0.5,0.3,32,0,71.0,9.14,success
338,Beta,api,alta,5.24,7.96,24,0,80.7,4.01,success
339,Alpha,api,alta,0.5,6.82,49,0,45.6,3.71,success
340,Delta,auth,baja,8.15,2.71,40,0,94.6,8.92,success
341,Gamma,db,alta,1.18,5.81,34,0,72.3,3.1,success
342,Beta,api,baja,4.88,2.95,36,0,38.3,8.72,success
343,Gamma,api,baja,7.6,5.4,107,0,58.8,5.58,success
344,Gamma,auth,media,9.97,8.19,415,1,57.9,8.62,success
345,Delta,auth,baja,8.84,10.67,140,0,81.8,5.17,success
346,Beta,ui,baja,5.84,5.71,183,0,87.9,5.89,success
347,Delta,auth,media,2.44,4.0,47,0,89.2,10.11,success
348,Delta,auth,baja,2.07,4.88,73,0,77.0,20.24,success
349,Alpha,db,baja,9.15,9.52,98,0,57.0,7.1,success
350,Alpha,api,alta,0.5,3.08,37,0,55.9,4.61,success
351,Gamma,api,media,4.87,6.97,45,0,71.6,8.7,success
352,Alpha,api,alta,4.69,2.82,144,0,75.2,6.68,success
353,Beta,db,media,10.61,3.53,178,0,90.8,9.54,success
354,Beta,api,media,11.09,12.72,71,0,54.1,7.27,success
355,Delta,db,baja,0.7,0.3,23,0,94.6,11.36,success
356,Delta,infra,alta,3.97,2.55,51,0,77.2,6.2,success
357,Alpha,ui,baja,1.54,1.6,18,0,60.1,13.67,success
358,Delta,api,baja,7.41,4.69,71,0,90.6,9.79,success
359,Alpha,db,alta,3.87,2.01,84,0,93.6,11.0,success
360,Gamma,api,alta,6.76,6.71,52,0,86.0,4.62,success
361,Delta,api,media,3.23,4.62,83,0,50.0,5.8,success
362,Delta,ui,baja,12.0,10.25,97,0,70.2,8.1,failed
363,Alpha,api,baja,0.5,3.19,84,0,100.0,8.27,success
364,Delta,auth,media,3.88,2.79,23,0,70.4,6.21,success
365,Alpha,api,alta,3.56,2.59,53,0,52.4,5.56,success
366,Gamma,auth,media,4.72,7.13,96,0,85.5,5.74,success
367,Beta,api,baja,11.14,6.88,276,0,69.9,8.08,success
368,Beta,ui,baja,3.74,2.39,52,0,66.0,6.53,success
369,Alpha,infra,media,5.84,7.33,109,0,,9.97,success
370,Delta,auth,media,7.7,6.07,147,0,56.7,8.38,success
371,Beta,ui,baja,8.93,5.6,56,0,67.1,8.12,success
372,Gamma,api,baja,0.5,0.56,187,0,53.1,4.98,success
373,Beta,auth,baja,13.45,12.38,197,0,82.9,4.88,success
374,Beta,auth,baja,16.61,12.93,231,0,76.9,,success
375,Delta,auth,media,0.5,2.39,101,0,47.2,4.51,success
376,Alpha,auth,baja,18.86,9.9,558,0,91.9,9.11,success
377,Gamma,api,media,7.98,6.89,38,0,66.6,3.37,success
378,Gamma,api,alta,18.77,12.23,451,0,44.1,12.62,success
379,Beta,ui,critica,11.02,5.83,133,0,92.4,2.31,success
380,Beta,auth,critica,9.81,5.88,223,0,82.8,7.77,success
381,Alpha,auth,baja,0.5,3.54,50,0,,6.84,success
382,Delta,auth,baja,10.41,10.85,143,0,46.2,4.94,success
383,Delta,ui,baja,11.24,5.6,241,0,62.0,7.01,success
384,Alpha,api,alta,6.58,3.12,25,0,83.7,10.4,success
385,Alpha,ui,baja,0.5,3.54,58,0,84.0,6.81,success
386,Alpha,auth,media,0.5,0.78,10,0,52.0,10.82,success
387,Alpha,auth,baja,3.75,5.13,57,0,81.7,7.49,success
388,Delta,infra,baja,7.17,4.75,32,0,92.1,9.5,success
389,Delta,auth,alta,8.74,8.19,55,0,36.3,4.12,success
390,Alpha,auth,media,27.89,14.8,926,0,90.3,4.68,success
391,Gamma,auth,media,9.96,8.85,313,1,36.5,8.19,success
392,Alpha,infra,critica,10.03,2.27,18,0,87.0,5.14,success
393,Beta,ui,baja,3.64,6.0,110,0,56.5,8.9,success
394,Gamma,ui,baja,8.49,6.51,137,0,89.7,6.96,success
395,Gamma,infra,media,1.88,3.73,49,0,79.3,4.87,success
396,Delta,auth,media,5.84,5.6,78,0,60.6,12.31,success
397,Alpha,infra,media,2.29,0.3,85,0,70.7,6.3,success
398,Alpha,auth,baja,0.5,5.22,20,0,55.9,8.59,success
399,Beta,ui,critica,1.67,3.34,26,0,67.1,3.51,success
400,Beta,api,baja,2.7,5.01,78,0,89.3,4.98,success
401,Delta,api,media,3.23,1.44,73,0,49.5,4.63,success
402,Delta,infra,media,4.71,4.93,35,0,77.2,6.13,success
403,Beta,auth,critica,8.66,3.42,33,0,63.5,2.14,success
404,Delta,infra,media,2.0,3.07,62,0,67.0,7.94,success
405,Beta,api,critica,3.47,1.23,148,0,67.0,4.4,success
406,Gamma,ui,baja,3.89,16.35,62,0,73.0,7.12,success
407,Beta,infra,media,8.06,7.85,287,0,50.1,3.42,success
408,Alpha,auth,alta,0.5,5.13,36,0,73.9,5.21,success
409,Delta,infra,media,7.73,5.51,79,0,45.7,6.66,success
410,Alpha,ui,media,3.65,4.69,48,0,78.5,4.45,success
411,Alpha,db,critica,5.86,7.28,113,0,51.7,3.36,success
412,Alpha,auth,baja,0.5,0.3,33,0,59.7,7.81,success
